Year,Zipcode,Population,Poverty Count,Poverty Rate,Family Poverty Count,Median Household Income,Per Capita Income,Median Home Value
2017,95690,2346.0,189.0,8.06,25.0,55404.0,28249.0,449500.0
2017,95693,6408.0,468.0,7.3,128.0,85205.0,39767.0,519000.0
2017,95742,11119.0,698.0,6.28,120.0,113718.0,35792.0,368800.0
2017,95757,48242.0,3748.0,7.77,687.0,95316.0,32447.0,392900.0
2017,95758,63977.0,6803.0,10.63,1317.0,74473.0,31027.0,312100.0
2017,95811,5874.0,1683.0,28.65,293.0,43175.0,41514.0,481000.0
2017,95814,11023.0,2416.0,21.92,255.0,34017.0,34716.0,378000.0
2017,95815,25606.0,9220.0,36.01,1548.0,30831.0,16742.0,177100.0
2017,95816,17143.0,1966.0,11.47,165.0,61618.0,50211.0,504400.0
2017,95817,13277.0,3578.0,26.95,452.0,44130.0,27085.0,287300.0
2017,95818,20946.0,3508.0,16.75,751.0,74444.0,51661.0,492400.0
2017,95819,19134.0,1163.0,6.08,127.0,100611.0,50708.0,471300.0
2017,95820,36624.0,8744.0,23.88,1255.0,46083.0,21926.0,206500.0
2017,95821,35734.0,9011.0,25.22,1678.0,40969.0,26719.0,293200.0
2017,95822,45349.0,8842.0,19.5,1579.0,50687.0,24950.0,266400.0
2017,95823,78398.0,20293.0,25.88,4126.0,42182.0,17490.0,194000.0
2017,95824,30935.0,10917.0,35.29,2012.0,31888.0,13704.0,152900.0
2017,95825,34201.0,10889.0,31.84,1965.0,36615.0,24311.0,251500.0
2017,95826,37701.0,7001.0,18.57,1057.0,56772.0,28632.0,254700.0
2017,95827,21005.0,2904.0,13.83,482.0,52431.0,24715.0,216300.0
2017,95828,60988.0,12592.0,20.65,2418.0,47909.0,18960.0,201100.0
2017,95829,27417.0,2905.0,10.6,537.0,82601.0,28526.0,340500.0
2017,95830,963.0,218.0,22.64,26.0,61500.0,35294.0,519500.0
2017,95831,42218.0,3496.0,8.28,556.0,70552.0,40802.0,375200.0
2017,95832,11389.0,2856.0,25.08,490.0,45126.0,15451.0,205100.0
2017,95833,40569.0,6767.0,16.68,1230.0,57481.0,27464.0,228000.0
