,Year,ZipCode,Population,Poverty Count,Poverty Rate,Family Poverty Count,Median Household Income,Per Capita Income,Median Home Value,PC
70,2015,95814,9706.0,2579.0,26.57,304.0,31567.0,30859.0,290800.0,1.0
71,2015,95815,25394.0,10048.0,39.57,1803.0,26832.0,15035.0,119900.0,
72,2015,95816,17203.0,2134.0,12.4,186.0,54568.0,45727.0,458100.0,
73,2015,95817,13818.0,4168.0,30.16,540.0,33890.0,23242.0,224300.0,
74,2015,95818,20542.0,4237.0,20.63,884.0,62649.0,46658.0,438200.0,
75,2015,95819,18571.0,1200.0,6.46,149.0,90149.0,47037.0,413300.0,
76,2015,95820,35425.0,9590.0,27.07,1664.0,40898.0,20649.0,166500.0,70.0
77,2015,95821,34053.0,8919.0,26.19,1685.0,37619.0,23985.0,251300.0,270.0
78,2015,95822,43427.0,9924.0,22.85,1831.0,45801.0,22790.0,222800.0,
79,2015,95823,76079.0,22685.0,29.82,4534.0,36886.0,15784.0,154800.0,320.0
80,2015,95824,30053.0,10900.0,36.27,2087.0,29809.0,12854.0,110500.0,160.0
81,2015,95825,31846.0,9211.0,28.92,1490.0,37291.0,25547.0,217000.0,255.0
82,2015,95826,38256.0,7707.0,20.15,1099.0,54308.0,26416.0,211800.0,91.0
83,2015,95827,20509.0,3585.0,17.48,642.0,49450.0,22643.0,179800.0,93.0
84,2015,95828,62016.0,13638.0,21.99,2460.0,45206.0,17970.0,161700.0,304.0
85,2015,95829,26533.0,3519.0,13.26,650.0,77892.0,27011.0,295800.0,61.0
86,2015,95830,792.0,210.0,26.52,29.0,50893.0,28035.0,395500.0,1.0
87,2015,95831,41233.0,2810.0,6.81,449.0,69085.0,39417.0,337900.0,
88,2015,95832,11283.0,2923.0,25.91,449.0,41242.0,13887.0,163800.0,
89,2015,95833,40129.0,7677.0,19.13,1287.0,58575.0,26107.0,183200.0,4.0
90,2015,95834,24832.0,5269.0,21.22,1196.0,53698.0,25492.0,237700.0,7.0
91,2015,95835,38942.0,2505.0,6.43,494.0,79499.0,30609.0,273800.0,
92,2015,95837,341.0,14.0,4.11,3.0,111182.0,66201.0,354800.0,11.0
93,2015,95838,37133.0,11023.0,29.69,1995.0,39622.0,14990.0,143700.0,
94,2015,95841,19730.0,5090.0,25.8,994.0,40330.0,20047.0,168800.0,192.0
95,2015,95842,31299.0,7980.0,25.5,1645.0,43327.0,19475.0,160100.0,185.0
96,2015,95843,46972.0,6049.0,12.88,1269.0,63811.0,23635.0,225300.0,119.0
97,2015,95864,23007.0,1747.0,7.59,236.0,84414.0,51803.0,463900.0,54.0
98,2016,95608,60199.0,8680.0,14.42,1392.0,56891.0,36796.0,331500.0,391.0
99,2016,95610,44711.0,6767.0,15.13,1075.0,51271.0,25814.0,248000.0,2.0
100,2016,95621,41908.0,5809.0,13.86,986.0,52462.0,25123.0,196200.0,13.0
101,2016,95624,64429.0,6571.0,10.2,1310.0,84854.0,32386.0,318900.0,3.0
102,2016,95626,5871.0,614.0,10.46,103.0,56667.0,25711.0,245300.0,23.0
103,2016,95628,41649.0,4568.0,10.97,645.0,73858.0,39404.0,350500.0,177.0
104,2016,95630,74905.0,3246.0,4.33,491.0,102865.0,41733.0,433800.0,1.0
105,2016,95632,30594.0,5197.0,16.99,902.0,64668.0,25802.0,258700.0,15.0
106,2016,95638,2238.0,108.0,4.83,23.0,87361.0,41428.0,416900.0,4.0
107,2016,95639,333.0,10.0,3.0,0.0,69375.0,20566.0,354000.0,
108,2016,95641,1843.0,401.0,21.76,54.0,41571.0,25201.0,216400.0,26.0
109,2016,95655,4205.0,760.0,18.07,120.0,78750.0,28586.0,282700.0,19.0
110,2016,95660,34303.0,9059.0,26.41,1746.0,39677.0,16469.0,152500.0,436.0
111,2016,95662,32441.0,3215.0,9.91,464.0,72134.0,33003.0,307800.0,136.0
112,2016,95670,54277.0,8566.0,15.78,1642.0,56527.0,29106.0,247000.0,422.0
113,2016,95673,15140.0,2934.0,19.38,475.0,54560.0,20420.0,194800.0,110.0
114,2016,95683,6233.0,188.0,3.02,75.0,98782.0,48416.0,438700.0,9.0
115,2016,95690,2289.0,217.0,9.48,23.0,53493.0,32155.0,427700.0,9.0
116,2016,95693,6153.0,681.0,11.07,196.0,85417.0,38032.0,454300.0,18.0
117,2016,95742,10494.0,846.0,8.06,144.0,105789.0,33679.0,339200.0,36.0
118,2016,95758,63778.0,7497.0,11.75,1439.0,74164.0,30334.0,283300.0,2.0
119,2016,95814,10487.0,2753.0,26.25,346.0,31409.0,32965.0,344900.0,5.0
120,2016,95815,25206.0,9670.0,38.36,1740.0,29870.0,15891.0,136400.0,2.0
121,2016,95816,17178.0,2298.0,13.38,225.0,54777.0,46997.0,477500.0,
122,2016,95817,13918.0,4212.0,30.26,587.0,38889.0,24438.0,247700.0,
123,2016,95818,20629.0,3722.0,18.04,767.0,68085.0,49555.0,465600.0,
124,2016,95819,18846.0,980.0,5.2,68.0,96633.0,49763.0,438000.0,1.0
125,2016,95820,35869.0,9793.0,27.3,1609.0,42948.0,20235.0,180100.0,110.0
126,2016,95821,35530.0,9434.0,26.55,1756.0,39588.0,25387.0,270200.0,476.0
127,2016,95822,44724.0,9586.0,21.43,1752.0,47405.0,23429.0,241400.0,
128,2016,95823,76478.0,21017.0,27.48,4328.0,39294.0,16651.0,169000.0,402.0
129,2016,95824,30225.0,12046.0,39.85,2217.0,29747.0,12897.0,122100.0,258.0
130,2016,95825,33385.0,10942.0,32.78,1877.0,36647.0,24452.0,235200.0,442.0
131,2016,95826,36992.0,7103.0,19.2,1081.0,55772.0,27888.0,229500.0,180.0
132,2016,95827,20382.0,3152.0,15.46,537.0,48831.0,23842.0,187000.0,118.0
133,2016,95828,60884.0,13704.0,22.51,2593.0,45710.0,18029.0,178000.0,528.0
134,2016,95829,26588.0,3153.0,11.86,578.0,80118.0,27986.0,316600.0,106.0
135,2016,95830,953.0,212.0,22.25,26.0,54417.0,32603.0,398800.0,
136,2016,95831,41859.0,3371.0,8.05,589.0,68140.0,38780.0,354800.0,1.0
137,2016,95832,11313.0,3135.0,27.71,481.0,42652.0,13500.0,174200.0,5.0
138,2016,95833,40029.0,7433.0,18.57,1322.0,58008.0,27174.0,206500.0,4.0
139,2016,95834,26560.0,5024.0,18.92,1149.0,53728.0,24962.0,254200.0,8.0
140,2016,95835,38847.0,2959.0,7.62,514.0,83150.0,33342.0,304800.0,1.0
141,2016,95837,340.0,4.0,1.18,0.0,111786.0,74213.0,437500.0,15.0
142,2016,95838,37286.0,10870.0,29.15,1997.0,40815.0,15562.0,151300.0,2.0
143,2016,95841,19890.0,4902.0,24.65,958.0,40693.0,21140.0,187700.0,308.0
144,2016,95842,32184.0,8151.0,25.33,1595.0,44462.0,20289.0,169300.0,378.0
145,2016,95843,47666.0,6725.0,14.11,1421.0,66178.0,23479.0,251100.0,196.0
146,2016,95864,23527.0,1647.0,7.0,248.0,92165.0,54709.0,501900.0,103.0
147,2017,95608,61365.0,9010.0,14.68,1576.0,58433.0,37370.0,354700.0,267.0
148,2017,95610,45429.0,6215.0,13.68,993.0,54385.0,27428.0,276300.0,2.0
149,2017,95621,41893.0,5315.0,12.69,925.0,54543.0,27349.0,221800.0,4.0
150,2017,95624,65447.0,6281.0,9.6,1280.0,89075.0,33610.0,350200.0,5.0
151,2017,95626,6030.0,629.0,10.43,98.0,58108.0,26174.0,290600.0,20.0
152,2017,95628,40882.0,4131.0,10.1,591.0,76063.0,42340.0,377500.0,109.0
153,2017,95630,75864.0,3485.0,4.59,611.0,106843.0,43840.0,456900.0,
154,2017,95632,31523.0,4959.0,15.73,848.0,68795.0,27293.0,290500.0,13.0
155,2017,95638,2204.0,90.0,4.08,26.0,89306.0,37969.0,461000.0,6.0
156,2017,95639,309.0,0.0,0.0,0.0,71500.0,21408.0,354200.0,1.0
157,2017,95641,1657.0,302.0,18.23,39.0,41979.0,26549.0,212200.0,18.0
158,2017,95655,4091.0,827.0,20.22,148.0,78375.0,31035.0,308000.0,7.0
159,2017,95660,35397.0,9520.0,26.89,1849.0,41116.0,16619.0,162900.0,315.0
160,2017,95662,31738.0,2925.0,9.22,431.0,75554.0,34397.0,330900.0,92.0
161,2017,95670,54348.0,7916.0,14.57,1449.0,60733.0,31108.0,274500.0,298.0
162,2017,95673,15604.0,2680.0,17.18,397.0,57715.0,22203.0,223500.0,67.0
163,2017,95683,6173.0,286.0,4.63,117.0,103476.0,51060.0,442000.0,5.0
164,2017,95690,2346.0,189.0,8.06,25.0,55404.0,28249.0,449500.0,8.0
165,2017,95693,6408.0,468.0,7.3,128.0,85205.0,39767.0,519000.0,12.0
166,2017,95742,11119.0,698.0,6.28,120.0,113718.0,35792.0,368800.0,28.0
167,2017,95758,63977.0,6803.0,10.63,1317.0,74473.0,31027.0,312100.0,
168,2017,95814,11023.0,2416.0,21.92,255.0,34017.0,34716.0,378000.0,5.0
169,2017,95815,25606.0,9220.0,36.01,1548.0,30831.0,16742.0,177100.0,2.0
170,2017,95816,17143.0,1966.0,11.47,165.0,61618.0,50211.0,504400.0,3.0
171,2017,95817,13277.0,3578.0,26.95,452.0,44130.0,27085.0,287300.0,1.0
172,2017,95818,20946.0,3508.0,16.75,751.0,74444.0,51661.0,492400.0,
173,2017,95819,19134.0,1163.0,6.08,127.0,100611.0,50708.0,471300.0,1.0
174,2017,95820,36624.0,8744.0,23.88,1255.0,46083.0,21926.0,206500.0,92.0
175,2017,95821,35734.0,9011.0,25.22,1678.0,40969.0,26719.0,293200.0,336.0
176,2017,95822,45349.0,8842.0,19.5,1579.0,50687.0,24950.0,266400.0,1.0
177,2017,95823,78398.0,20293.0,25.88,4126.0,42182.0,17490.0,194000.0,268.0
178,2017,95824,30935.0,10917.0,35.29,2012.0,31888.0,13704.0,152900.0,179.0
179,2017,95825,34201.0,10889.0,31.84,1965.0,36615.0,24311.0,251500.0,298.0
180,2017,95826,37701.0,7001.0,18.57,1057.0,56772.0,28632.0,254700.0,134.0
181,2017,95827,21005.0,2904.0,13.83,482.0,52431.0,24715.0,216300.0,83.0
182,2017,95828,60988.0,12592.0,20.65,2418.0,47909.0,18960.0,201100.0,296.0
183,2017,95829,27417.0,2905.0,10.6,537.0,82601.0,28526.0,340500.0,79.0
184,2017,95830,963.0,218.0,22.64,26.0,61500.0,35294.0,519500.0,1.0
185,2017,95831,42218.0,3496.0,8.28,556.0,70552.0,40802.0,375200.0,
186,2017,95832,11389.0,2856.0,25.08,490.0,45126.0,15451.0,205100.0,1.0
187,2017,95833,40569.0,6767.0,16.68,1230.0,57481.0,27464.0,228000.0,6.0
188,2017,95834,27089.0,4746.0,17.52,1042.0,57296.0,27030.0,286000.0,1.0
189,2017,95835,38607.0,2769.0,7.17,506.0,87794.0,36834.0,348200.0,1.0
190,2017,95837,237.0,4.0,1.69,0.0,225000.0,86550.0,625000.0,5.0
191,2017,95838,38051.0,10465.0,27.5,1894.0,41970.0,16744.0,169900.0,2.0
192,2017,95841,20551.0,4726.0,23.0,1016.0,42133.0,22458.0,214900.0,180.0
193,2017,95842,31971.0,7293.0,22.81,1387.0,47705.0,21179.0,197500.0,232.0
194,2017,95843,47088.0,6470.0,13.74,1401.0,71041.0,25383.0,275700.0,158.0
195,2017,95864,23458.0,1608.0,6.85,237.0,96643.0,57039.0,531300.0,89.0
196,2018,95608,61860.0,9799.0,15.84,1800.0,61437.0,38483.0,377000.0,349.0
197,2018,95610,45995.0,5987.0,13.02,1073.0,58780.0,29122.0,305800.0,2.0
198,2018,95621,41757.0,4450.0,10.66,755.0,59693.0,29377.0,247900.0,13.0
199,2018,95624,65742.0,6349.0,9.66,1275.0,91971.0,35090.0,375900.0,7.0
200,2018,95626,6335.0,640.0,10.1,79.0,73355.0,28332.0,313900.0,14.0
201,2018,95628,41121.0,3866.0,9.4,581.0,81235.0,44477.0,407000.0,172.0
202,2018,95630,76973.0,3828.0,4.97,690.0,109942.0,45371.0,488700.0,1.0
203,2018,95632,31431.0,3851.0,12.25,665.0,74190.0,28871.0,323800.0,18.0
204,2018,95638,2121.0,171.0,8.06,48.0,81500.0,39056.0,505400.0,2.0
205,2018,95639,321.0,0.0,0.0,0.0,59226.0,21171.0,422200.0,2.0
206,2018,95641,1548.0,285.0,18.41,32.0,36932.0,26016.0,242600.0,10.0
207,2018,95655,4178.0,600.0,14.36,74.0,89107.0,32282.0,335400.0,19.0
208,2018,95660,36472.0,9456.0,25.93,1799.0,45328.0,17712.0,188100.0,405.0
209,2018,95662,32006.0,2979.0,9.31,429.0,77993.0,35382.0,356700.0,137.0
210,2018,95670,54648.0,7186.0,13.15,1411.0,64784.0,32965.0,298100.0,483.0
211,2018,95673,15753.0,2765.0,17.55,467.0,62604.0,23162.0,242200.0,113.0
212,2018,95683,6279.0,199.0,3.17,66.0,107395.0,51501.0,454100.0,7.0
213,2018,95690,2122.0,167.0,7.87,16.0,56850.0,30100.0,469100.0,10.0
214,2018,95693,6759.0,424.0,6.27,114.0,100679.0,41551.0,558200.0,5.0
215,2018,95742,11921.0,818.0,6.86,175.0,126348.0,38958.0,400500.0,45.0
216,2018,95758,63894.0,6697.0,10.48,1231.0,79885.0,32281.0,342400.0,1.0
217,2018,95814,11340.0,2561.0,22.58,235.0,35264.0,35600.0,411500.0,16.0
218,2018,95815,25224.0,8716.0,34.55,1454.0,31467.0,17106.0,200500.0,2.0
219,2018,95816,17217.0,1751.0,10.17,143.0,65292.0,53355.0,547300.0,1.0
220,2018,95817,13461.0,3084.0,22.91,430.0,45410.0,28750.0,318500.0,
221,2018,95818,21732.0,3506.0,16.13,658.0,80938.0,52650.0,519300.0,
222,2018,95819,19659.0,1185.0,6.03,142.0,104414.0,52029.0,523500.0,
223,2018,95820,35477.0,8511.0,23.99,1242.0,50031.0,23660.0,229300.0,108.0
224,2018,95821,35430.0,8526.0,24.06,1624.0,42290.0,27120.0,317200.0,399.0
225,2018,95822,45323.0,7730.0,17.06,1352.0,54552.0,27496.0,289100.0,
226,2018,95823,79272.0,19229.0,24.26,3774.0,44981.0,18230.0,221900.0,373.0
227,2018,95824,30296.0,10696.0,35.3,1995.0,33986.0,14063.0,169000.0,280.0
228,2018,95825,35825.0,11710.0,32.69,2029.0,37956.0,24738.0,278900.0,417.0
